review_id,source_type,platform,drug,condition,date,user_id,title,text,combined_text,rating
REV_000001,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_1,,"""Started taking this medication off label for weight loss only. I am not diabetic. Started on Aug 30, 2020. First 2 weeks I had some mild nausea, nothing terrible, and some mild dizziness. The past 2 weeks, I have had no symptoms. I definitely cannot eat what I used to, or you will feel sick. I am doing the weekly injection at 0.25 along with Weight Watchers, and in the past 26 days, I have lost 10.5 lbs :). My sweet tooth cravings are pretty much gone. Really happy so far. I am increasing to 0.50mg next week. I'll keep you all posted!""","""Started taking this medication off label for weight loss only. I am not diabetic. Started on Aug 30, 2020. First 2 weeks I had some mild nausea, nothing terrible, and some mild dizziness. The past 2 weeks, I have had no symptoms. I definitely cannot eat what I used to, or you will feel sick. I am doing the weekly injection at 0.25 along with Weight Watchers, and in the past 26 days, I have lost 10.5 lbs :). My sweet tooth cravings are pretty much gone. Really happy so far. I am increasing to 0.50mg next week. I'll keep you all posted!""",
REV_000002,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_2,,"For Weight Loss ""I was hesitant to try Ozempic for weight loss (need to lose 30 lbs) because I have a lot of kids/responsibilities and don't have the time to be nauseous or have debilitating diarrhea, etc. After keeping the pen in the fridge for weeks, I decided to risk an injection, and I'm so happy to say I've had zero side effects except a disinterest in food. I'm on week six of the 0.25 dose because it's enough for me, and I don't see a reason to increase the dose. My lack of interest in food is liberating! For the first time in 30 years, I don't go to bed kicking myself for what I've eaten or making promises to myself to make amends for overeating. Zero sugar cravings...food isn't a reward or pleasure anymore. I'm never ravenous, so I make good, calm choices about what I eat. This has been life-changing and a complete shift in perspective. Obviously, some people have terrible side effects, but I've had none (not even a headache!).""","For Weight Loss ""I was hesitant to try Ozempic for weight loss (need to lose 30 lbs) because I have a lot of kids/responsibilities and don't have the time to be nauseous or have debilitating diarrhea, etc. After keeping the pen in the fridge for weeks, I decided to risk an injection, and I'm so happy to say I've had zero side effects except a disinterest in food. I'm on week six of the 0.25 dose because it's enough for me, and I don't see a reason to increase the dose. My lack of interest in food is liberating! For the first time in 30 years, I don't go to bed kicking myself for what I've eaten or making promises to myself to make amends for overeating. Zero sugar cravings...food isn't a reward or pleasure anymore. I'm never ravenous, so I make good, calm choices about what I eat. This has been life-changing and a complete shift in perspective. Obviously, some people have terrible side effects, but I've had none (not even a headache!).""",
REV_000003,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_3,,"For Type 2 Diabetes ""I started Ozempic 9 months ago. At the time, I was a little over 200 lbs and was taking 1000 mg of metformin daily. Metformin had worked for me for almost 20 years, so I didn't expect that it had suddenly stopped working. For 3 years, I gained weight even though I worked out, and I thought it was just my appetite out of control. One random day, I realized my metformin was the problem. I saw a new doctor who prescribed Ozempic. What a miracle! 9 months later, and I’m down 40 lbs, my A1C dropped from 8.1 to 5.6, and I have virtually no symptoms from the drug other than fullness. The symptoms in the beginning did not last long either. Nausea, headache, fatigue...all cleared up within a week or 2 each time my dose was increased. It can cause what feels like constipation, but for me, it’s just that I simply haven’t eaten enough. This drug feels too good to be true. I’m so pleased with my experience so far!""","For Type 2 Diabetes ""I started Ozempic 9 months ago. At the time, I was a little over 200 lbs and was taking 1000 mg of metformin daily. Metformin had worked for me for almost 20 years, so I didn't expect that it had suddenly stopped working. For 3 years, I gained weight even though I worked out, and I thought it was just my appetite out of control. One random day, I realized my metformin was the problem. I saw a new doctor who prescribed Ozempic. What a miracle! 9 months later, and I’m down 40 lbs, my A1C dropped from 8.1 to 5.6, and I have virtually no symptoms from the drug other than fullness. The symptoms in the beginning did not last long either. Nausea, headache, fatigue...all cleared up within a week or 2 each time my dose was increased. It can cause what feels like constipation, but for me, it’s just that I simply haven’t eaten enough. This drug feels too good to be true. I’m so pleased with my experience so far!""",
REV_000004,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_4,,"For Type 2 Diabetes ""I did one injection and have been ill since. I have had acid reflux, burping, vomiting, constipation, headache, and dizziness. I tried to eat small meals and drink plenty of water as directed by my physician, but I have been unable to hold anything down. Five days after my first injection, I'm off work, drinking Pedialyte, trying to get my strength back, and avoid being hospitalized. This is the worst that I have ever felt in my life.""","For Type 2 Diabetes ""I did one injection and have been ill since. I have had acid reflux, burping, vomiting, constipation, headache, and dizziness. I tried to eat small meals and drink plenty of water as directed by my physician, but I have been unable to hold anything down. Five days after my first injection, I'm off work, drinking Pedialyte, trying to get my strength back, and avoid being hospitalized. This is the worst that I have ever felt in my life.""",
REV_000005,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_5,,"For Type 2 Diabetes ""I’ve been on Ozempic for 4 weeks. I am so glad that my doctor sat me down and told me what to expect. She also asked if I could handle it. She said that if you can make it through the 4th week, I promise it will get better. She was right. I was pretty sick the first two weeks. I learned that it had a lot to do with me trying to eat my normal intake of food. Once I started to catch a clue and make my portions smaller, I learned it would make me feel better. I could guarantee if I ate too much, I’d feel like crap. People aren’t kidding about the side effects. It’s real. But I made it and am now starting to feel better with each day. I’ve lost 18 pounds now and I’m amazed. Yes, it makes you sick, but if you keep trying to eat like you did, it will be worse. You have to start listening to your body. You can’t keep eating your same amounts and expect to lose weight.""","For Type 2 Diabetes ""I’ve been on Ozempic for 4 weeks. I am so glad that my doctor sat me down and told me what to expect. She also asked if I could handle it. She said that if you can make it through the 4th week, I promise it will get better. She was right. I was pretty sick the first two weeks. I learned that it had a lot to do with me trying to eat my normal intake of food. Once I started to catch a clue and make my portions smaller, I learned it would make me feel better. I could guarantee if I ate too much, I’d feel like crap. People aren’t kidding about the side effects. It’s real. But I made it and am now starting to feel better with each day. I’ve lost 18 pounds now and I’m amazed. Yes, it makes you sick, but if you keep trying to eat like you did, it will be worse. You have to start listening to your body. You can’t keep eating your same amounts and expect to lose weight.""",
REV_000006,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_6,,"For Type 2 Diabetes ""Started on Ozempic in September 2020, starting weight 312 lbs (5’4”). I am type 2 diabetic and take 2550mg of Metformin daily. HbA1c was 79, sugar cravings, and blood sugar out of control. Started on 0.25 dose for a month. Quite bad stomach cramps and nausea for the first month. Went up to 0.5 dose in month 2, then 1.0 dose for month 3 and since. No. 1 tip - inject into your leg rather than around your belly. Once I changed to injecting in my leg, nausea and cramps disappeared overnight, and never came back. To maximize effectiveness, you can’t eat like you did before. I re-joined Weight Watchers in September. I have lost 80 lbs in 5 months, HbA1c dropped from 79 to 51 which is a normal type 2 level although the doc feels with more weight loss, it could go to normal levels. In Ireland, diabetes is classed as a long-term illness so all medications are covered by the government, so I don’t have to pay for this. Otherwise, it costs €195.""","For Type 2 Diabetes ""Started on Ozempic in September 2020, starting weight 312 lbs (5’4”). I am type 2 diabetic and take 2550mg of Metformin daily. HbA1c was 79, sugar cravings, and blood sugar out of control. Started on 0.25 dose for a month. Quite bad stomach cramps and nausea for the first month. Went up to 0.5 dose in month 2, then 1.0 dose for month 3 and since. No. 1 tip - inject into your leg rather than around your belly. Once I changed to injecting in my leg, nausea and cramps disappeared overnight, and never came back. To maximize effectiveness, you can’t eat like you did before. I re-joined Weight Watchers in September. I have lost 80 lbs in 5 months, HbA1c dropped from 79 to 51 which is a normal type 2 level although the doc feels with more weight loss, it could go to normal levels. In Ireland, diabetes is classed as a long-term illness so all medications are covered by the government, so I don’t have to pay for this. Otherwise, it costs €195.""",
REV_000007,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_7,,"For Cardiovascular Risk Reduction ""I have been on Ozempic for exactly 1 year as my insulin intake (injection) was far too high, as well as Metformin. I was asked if I wanted to try Ozempic and was told that it may help with weight loss too. In the course of the year, I have lost over 9 stone in weight and gone from a ladies size 26 in clothing to a size 14 to 16. I have never been happier with my weight, my blood sugars are normal levels now which they were previously out of control.""","For Cardiovascular Risk Reduction ""I have been on Ozempic for exactly 1 year as my insulin intake (injection) was far too high, as well as Metformin. I was asked if I wanted to try Ozempic and was told that it may help with weight loss too. In the course of the year, I have lost over 9 stone in weight and gone from a ladies size 26 in clothing to a size 14 to 16. I have never been happier with my weight, my blood sugars are normal levels now which they were previously out of control.""",
REV_000008,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_8,,"For Type 2 Diabetes ""Ozempic has caused me so much constipation!!! I know a side effect is diarrhea, but it does the complete OPPOSITE for me. A day or two after I take my injection, I have no bowel movements at all!! Every week I am forced to take a laxative. It has caused so many problems for me. Anyone else experienced severe constipation. So frustrated.""","For Type 2 Diabetes ""Ozempic has caused me so much constipation!!! I know a side effect is diarrhea, but it does the complete OPPOSITE for me. A day or two after I take my injection, I have no bowel movements at all!! Every week I am forced to take a laxative. It has caused so many problems for me. Anyone else experienced severe constipation. So frustrated.""",
REV_000009,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_9,,"For Cardiovascular Risk Reduction ""I was prescribed it for prediabetes and weight loss. Today, in one week since my first injection, I lost 6 lbs. In one week, the last diet (one of very many), it took me 3 months to lose 10 lbs by starving myself, which tells you how elevated sugar prevents you from losing weight. I am not diabetic, my A1C is 5.5. I had slight nausea and fatigue the first 2 days, and after that, it’s all gone and I never felt better. I have no cravings. I eat approximately 1000 calories a day, and it’s more than enough. Instead of constant thoughts of food, I do other things that I used to enjoy like exercise, etc. I am worried about coming off Ozempic before I lose all the weight I need. It is a miracle drug for me! I hope it will help you all! If they keep working on meds like this, it will reduce type 2 diabetes and obesity drastically.""","For Cardiovascular Risk Reduction ""I was prescribed it for prediabetes and weight loss. Today, in one week since my first injection, I lost 6 lbs. In one week, the last diet (one of very many), it took me 3 months to lose 10 lbs by starving myself, which tells you how elevated sugar prevents you from losing weight. I am not diabetic, my A1C is 5.5. I had slight nausea and fatigue the first 2 days, and after that, it’s all gone and I never felt better. I have no cravings. I eat approximately 1000 calories a day, and it’s more than enough. Instead of constant thoughts of food, I do other things that I used to enjoy like exercise, etc. I am worried about coming off Ozempic before I lose all the weight I need. It is a miracle drug for me! I hope it will help you all! If they keep working on meds like this, it will reduce type 2 diabetes and obesity drastically.""",
REV_000010,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_10,,"For Type 2 Diabetes ""I took one Ozempic injection at 0.25 and ended up at the ER 2 days later. I had horrible bloating. Burping smelled like eggs. Unstoppable vomiting and diarrhea. I only took one injection and stopped the medicine. It has been 2 weeks and the medicine is still making me sick. I'm just wondering how long it takes to fully leave your system? I just want to feel human again. I was tested for pancreatitis but was okay, but the doctor said they will repeat labs soon. I don't recommended this medication to anyone! Please be safe taking this medication.""","For Type 2 Diabetes ""I took one Ozempic injection at 0.25 and ended up at the ER 2 days later. I had horrible bloating. Burping smelled like eggs. Unstoppable vomiting and diarrhea. I only took one injection and stopped the medicine. It has been 2 weeks and the medicine is still making me sick. I'm just wondering how long it takes to fully leave your system? I just want to feel human again. I was tested for pancreatitis but was okay, but the doctor said they will repeat labs soon. I don't recommended this medication to anyone! Please be safe taking this medication.""",
