review_id,source_type,platform,review_date,user_id,review_title,review_text,rating,helpful_count,condition,sentiment_label,contains_benefit_mention,contains_side_effect_mention,contains_trade_off_language
REV_000001,Review_Platform,WebMD,15-01-2025,reviewer_82,Mixed results,"After half a year using Ozempic for Type 2 Diabetes, here's my honest review:

The positives: my A1C dropped from 8.9 to 6.1 and my doctor is thrilled. My doctor is very pleased with these results the food noise in my head is completely gone

The negative aspects: the nausea is real and it can be debilitating at times. Some days are worse than others.

I'm managing by anti-nausea medication from my doctor.

Overall, I would recommend discussing this with your doctor.",3,120,Type 2 Diabetes,mixed,1,1,0
REV_000002,Review_Platform,Drugs.com,18-11-2024,reviewer_454,Highly effective medication,"After almost a year using Ozempic for Weight Loss, here's my honest review:

What's worked well: my glucose readings are consistently in normal range now. This has reduced my need for other medications

Challenges I've faced: nausea hits me hard, particularly in the mornings. This has been difficult to manage.

I'm managing by crackers and bland foods. This is temporary discomfort for long-term health.

I'm glad my doctor suggested this medication.",4,94,Weight Loss,positive,1,1,1
REV_000003,Review_Platform,Drugs.com,27-08-2024,reviewer_329,Difficult to tolerate,"Started Ozempic half a year ago prescribed by my doctor for Weight Loss. I'm 58 years old and have struggled with weight issues for years.

Side effects I'm dealing with: dealing with persistent nausea - some days are worse than others. Some days are worse than others.

I'm not sure this medication is right for me.",2,36,Weight Loss,negative,0,1,0
REV_000004,Review_Platform,Drugs.com,10-11-2023,reviewer_498,Difficult to tolerate,"Been on this medication for 2 months now treating Type 2 Diabetes.

The drawbacks: reflux symptoms are more pronounced now. It's affecting my daily life.

The benefits don't outweigh the challenges for me personally.",2,10,Type 2 Diabetes,negative,0,1,0
REV_000005,Review_Platform,WebMD,13-06-2022,reviewer_332,Highly effective medication,"Been on this medication for 2 months now treating Type 2 Diabetes.

What's worked well: my A1C dropped from 8.3 to 5.8 and my doctor is thrilled. I feel much more stable throughout the day

The negative aspects: dealing with persistent headaches, especially early on. It's been quite challenging the nausea is pretty rough, especially in the first few days after injection. Some days are worse than others.

For me, these results are absolutely worth the discomfort.

Overall, I'm very satisfied and plan to continue.",5,37,Type 2 Diabetes,positive,1,1,1
REV_000006,Review_Platform,WebMD,05-08-2024,reviewer_256,Highly effective medication,"Started Ozempic almost a year ago prescribed by my doctor for Type 2 Diabetes.

The positives: I'm finally not thinking about food 24/7 lost 42 lbs so far and people are starting to notice. Friends and family have noticed the change

I'm glad my doctor suggested this medication.",4,107,Type 2 Diabetes,positive,1,0,0
REV_000007,Review_Platform,Drugs.com,31-08-2022,reviewer_390,Difficult to tolerate,"After about 3 weeks using Ozempic for Weight Loss, here's my honest review:

Side effects I'm dealing with: dealing with persistent headaches, especially early on. It's been quite challenging.

I'm not sure this medication is right for me.",1,81,Weight Loss,negative,0,1,0
REV_000008,Review_Platform,Drugs.com,30-08-2024,reviewer_319,Difficult to tolerate,"I've been taking Ozempic for 6 weeks for Type 2 Diabetes.

The drawbacks: dealing with persistent nausea - some days are worse than others. This is my biggest complaint exhaustion hits me in waves throughout the week. Some days are worse than others.

I'm not sure this medication is right for me.",2,79,Type 2 Diabetes,negative,0,1,0
REV_000009,Review_Platform,Drugs.com,26-05-2023,reviewer_460,Highly effective medication,"Been on this medication for 7 months now treating Weight Loss.

What's worked well: the scale shows 18 pounds down and I'm not even trying that hard. Friends and family have noticed the change the fatigue I used to feel is mostly gone

Challenges I've faced: I feel more tired than usual, especially after injection day. Some days are worse than others.

I'm managing by eating smaller portions and staying hydrated. Honestly, it's a small price to pay for these results. I'm willing to continue because the benefits are so significant.

Overall, I'm very satisfied and plan to continue.",5,97,Weight Loss,positive,1,1,1
REV_000010,Review_Platform,Drugs.com,23-07-2023,reviewer_134,Difficult to tolerate,"Been on this medication for 6 weeks now treating Weight Loss.

I'm not sure this medication is right for me.",2,81,Weight Loss,negative,0,0,0
REV_000011,Review_Platform,Drugs.com,29-04-2024,reviewer_268,Highly effective medication,"My endocrinologist put me on Ozempic 3 months ago for Weight Loss. Background: 55F, type 2 diabetes diagnosis about 3 years ago.

What's worked well: the weight is literally melting off - down 42 lbs already. Friends and family have noticed the change

The negative aspects: dealing with persistent nausea - some days are worse than others. It's been quite challenging.

I'm managing by ginger tea and small frequent meals. This is temporary discomfort for long-term health.

I would recommend this to others dealing with similar health issues.",4,67,Weight Loss,positive,1,1,1
REV_000012,Review_Platform,WebMD,02-05-2022,reviewer_227,Difficult to tolerate,"Been on this medication for 6 weeks now treating Weight Loss. I'm 58 years old and have struggled with type 2 diabetes for years.

The drawbacks: dealing with persistent nausea - some days are worse than others. It's been quite challenging constipation has been an ongoing issue I'm dealing with. It's been quite challenging.

The benefits don't outweigh the challenges for me personally.",1,107,Weight Loss,negative,0,1,0
REV_000013,Review_Platform,WebMD,11-03-2023,reviewer_448,Highly effective medication,"Started Ozempic a month ago prescribed by my doctor for Type 2 Diabetes.

What's worked well: 42 pounds gone and I feel like a different person. Friends and family have noticed the change

However, the side effects have been significant. getting headaches that I didn't have before. It's affecting my daily life.

I'm managing by prescription anti-nausea meds. The trade-off is worth it when I see the progress. This medication has given me hope for better health.

I'm glad my doctor suggested this medication.",5,117,Type 2 Diabetes,positive,1,1,1
REV_000014,Review_Platform,Drugs.com,05-07-2024,reviewer_329,Difficult to tolerate,"Started Ozempic half a year ago prescribed by my doctor for Type 2 Diabetes.

Challenges I've faced: I do get waves of nausea that can be intense. This has been difficult to manage.

I'm not sure this medication is right for me.",2,40,Type 2 Diabetes,negative,0,1,0
REV_000015,Review_Platform,WebMD,22-12-2024,reviewer_82,Mixed results,"After 6 weeks using Ozempic for Weight Loss, here's my honest review:

Benefits I've experienced: the food noise in my head is completely gone

Challenges I've faced: I feel more tired than usual, especially after injection day. Some days are worse than others.

I'm managing by adjusting my meal timing.

Would I recommend it? Not sure yet, still adjusting.",3,88,Weight Loss,mixed,1,1,0
REV_000016,Review_Platform,WebMD,30-07-2023,reviewer_185,Difficult to tolerate,"After almost a year using Ozempic for Weight Loss, here's my honest review:

The drawbacks: noticing my hair is thinning a bit which is concerning. Some days are worse than others.

The benefits don't outweigh the challenges for me personally.",2,136,Weight Loss,negative,0,1,0
